ACM.x[0],ACM.x[1],ACM.x[2],ACM.x[3],ACM.Tem,CTRL.uMs_cmd,CTRL.uTs_cmd,CTRL.iMs_cmd,CTRL.iMs,CTRL.iTs_cmd,CTRL.iTs,ob.psi_mu_al,ob.tajima.omg*RAD_PER_SEC_2_RPM,ACM.rpm
0.722623,0,0.000778854,0,0,7.22173,0,1.11557,0.643447,0,0,0.00961359,-50.2832,0
0.845523,0,0.00247113,0,0,4.39145,0,1.11557,0.837186,0,0,0.0128084,-17.6318,0
0.860568,0,0.00426159,0,0,4.12346,0,1.11557,0.859146,0,0,0.0147828,-14.4352,0
0.86506,0,0.00606038,0,0,4.10516,0,1.11557,0.864319,0,0,0.0166365,-14.1103,0
0.868487,0,0.00785869,0,0,4.11104,0,1.11557,0.86782,-0,0,0.0184767,-14.0649,0
0.871774,0,0.00965558,0,0,4.11913,0,1.11557,0.871121,-0,0,0.0203138,-14.0463,0
0.875011,0,0.0114509,0,0,4.12727,0,1.11557,0.874367,-0,0,0.0221487,-14.0297,0
0.87821,0,0.0132446,0,0,4.13526,0,1.11557,0.877573,-0,0,0.0239814,-14.013,0
0.88137,0,0.0150365,0,0,4.14308,0,1.11557,0.880741,-0,0,0.025812,-13.9957,0
0.884492,0,0.0168266,0,0,4.15073,0,1.11557,0.88387,-0,0,0.0276402,-13.978,0
0.887576,0,0.0186148,0,0,4.15822,0,1.11557,0.886962,-0,0,0.0294662,-13.9597,0
0.890624,0,0.0204011,0,0,4.16555,0,1.11557,0.890017,-0,0,0.0312897,-13.941,0
0.893635,0,0.0221854,0,0,4.17271,0,1.11557,0.893036,-0,0,0.0331108,-13.9218,0
0.89661,0,0.0239676,0,0,4.17972,0,1.11557,0.896018,-0,0,0.0349294,-13.9021,0
0.899549,0,0.0257476,0,0,4.18657,0,1.11557,0.898964,-0,0,0.0367453,-13.882,0
0.902453,0,0.0275254,0,0,4.19326,0,1.11557,0.901875,-0,0,0.0385587,-13.8614,0
0.905322,0,0.029301,0,0,4.1998,0,1.11557,0.904751,-0,0,0.0403693,-13.8403,0
